Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shaun Bruce,Sydney Kings,27,387,36,87,0.414,25,65,0.385,11,22,0.5,0.557,12,16,0.75,6,19,25,34,11,2,24,40,109
Shea Ili,Melbourne United,26,644,96,208,0.462,13,48,0.271,83,160,0.519,0.493,95,122,0.779,32,55,87,122,35,8,55,57,300
Sunday Dech,Adelaide 36ers,22,521,46,119,0.387,24,63,0.381,22,56,0.393,0.487,12,16,0.75,14,45,59,26,15,2,9,47,128
Tacko Fall,New Zealand Breakers,18,318,83,113,0.735,0,0,,83,113,0.735,0.735,40,78,0.513,38,81,119,9,2,28,35,43,206
Tad Dufelmeier,Cairns Taipans,4,47,3,13,0.231,1,5,0.2,2,8,0.25,0.269,1,1,1,5,2,7,5,0,1,2,4,8
Tai Webster,Perth Wildcats,16,268,52,101,0.515,7,17,0.412,45,84,0.536,0.55,21,26,0.808,15,23,38,41,6,3,22,40,132
Tanner Groves,Cairns Taipans,22,554,114,205,0.556,28,67,0.418,86,138,0.623,0.624,41,55,0.745,46,80,126,33,17,20,31,73,297
Tanner Krebs,Melbourne United,29,369,56,143,0.392,35,94,0.372,21,49,0.429,0.514,6,9,0.667,16,40,56,8,11,3,15,21,153
Taran Armstrong,Cairns Taipans,19,566,112,243,0.461,34,97,0.351,78,146,0.534,0.531,67,97,0.691,9,78,87,90,17,1,49,33,325
Thomas Gerovich,Perth Wildcats,2,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
Todd Blanchfield,Illawarra Hawks,28,298,35,98,0.357,25,79,0.316,10,19,0.526,0.485,18,24,0.75,8,41,49,18,13,8,6,26,113
Todd Withers,Perth Wildcats,14,284,29,63,0.46,21,49,0.429,8,14,0.571,0.627,2,3,0.667,10,26,36,5,12,3,5,30,81
Tohi Smith-Milner,Brisbane Bullets,27,379,44,102,0.431,26,69,0.377,18,33,0.545,0.559,24,30,0.8,18,61,79,18,5,6,20,50,138
Tom Koppens,Melbourne United,8,29,2,10,0.2,1,5,0.2,1,5,0.2,0.25,2,4,0.5,4,8,12,1,0,0,4,5,7
Tom Kubank,Adelaide 36ers,1,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Tom Vodanovich,South East Melbourne Phoenix,27,293,27,83,0.325,15,50,0.3,12,33,0.364,0.416,5,12,0.417,15,38,53,19,5,4,9,34,74
Trey Kell,Illawarra Hawks,25,702,130,307,0.423,46,134,0.343,84,173,0.486,0.498,139,157,0.885,19,87,106,103,27,8,44,44,445
Tristan Devers,Brisbane Bullets,12,62,6,10,0.6,2,4,0.5,4,6,0.667,0.7,2,4,0.5,2,3,5,4,2,0,5,2,16
Tyler Harvey,Illawarra Hawks,29,869,189,411,0.46,85,220,0.386,104,191,0.545,0.563,55,61,0.902,14,68,82,104,35,8,41,70,518
Tyler Robertson,Sydney Kings,21,233,27,78,0.346,11,38,0.289,16,40,0.4,0.417,9,13,0.692,3,24,27,23,5,3,17,20,74
Tyrell Harrison,Brisbane Bullets,20,521,118,183,0.645,0,1,0,118,182,0.648,0.645,49,78,0.628,80,114,194,24,20,19,52,51,285
Walter Brown,Tasmania JackJumpers,8,29,2,6,0.333,1,3,0.333,1,3,0.333,0.417,1,2,0.5,1,3,4,1,1,0,2,8,6
Wani Swaka Lo Buluk,Illawarra Hawks,29,626,85,171,0.497,31,71,0.437,54,100,0.54,0.588,26,34,0.765,15,48,63,23,17,0,15,65,227
Will Magnay,Tasmania JackJumpers,13,336,62,98,0.633,3,8,0.375,59,90,0.656,0.648,52,86,0.605,39,53,92,31,15,21,24,29,179
William Hickey,Illawarra Hawks,29,608,98,198,0.495,12,42,0.286,86,156,0.551,0.525,49,76,0.645,33,101,134,112,30,23,48,57,257
Xavier Cooks,Sydney Kings,28,806,159,280,0.568,7,23,0.304,152,257,0.591,0.58,106,173,0.613,90,155,245,107,27,36,57,75,431
Zac Triplett,Illawarra Hawks,6,13,1,3,0.333,0,2,0,1,1,1,0.333,3,3,1,1,1,2,2,2,0,2,2,5
